movie_names,production_company,movie_imdb_id
Ride the Eagle,Decal / JTJ Films,tt14673560
The Evening Hour,Strand Releasing,tt5554356
Lorelei,Vertical Entertainment,tt6461318
Enemies of the State,IFC Films,tt10388028
The Suicide Squad,Warner Bros. Pictures / DC Films / Atlas Entertainment / HBO Max,tt6334354
Naked Singularity,Screen Media Films / Scott Free Productions,tt9598214
John and the Hole,IFC Films,tt11307724
Playing God,Vertical Entertainment,tt8371236
Swan Song,Magnolia Pictures,tt13207508
She Ball,Redbox Entertainment,tt7768784
The Kissing Booth 3,Netflix,tt12783454
Homeroom,Hulu,tt13622168
Free Guy,20th Century Studios / 21 Laps Entertainment / Maximum Effort / TSG Entertainment,tt6264654
Respect,Metro-Goldwyn-Mayer / Bron Creative,tt2452150
Beckett,Netflix / Rai Cinema,tt10230994
Don't Breathe 2,Screen Gems / Stage 6 Films / Ghost House Pictures,tt6246322
CODA,Apple TV+ / Pathé Films,tt10366460
Not Going Quietly,Greenwich Entertainment,tt11905538
PAW Patrol: The Movie,Paramount Pictures / Nickelodeon Movies / Paramount+,tt11832046
Reminiscence,Warner Bros. Pictures / FilmNation Entertainment / HBO Max,tt3272066
The Protégé,Lionsgate / Millennium Media / Ingenious Media,tt6079772
Sweet Girl,Netflix,tt10731768
The Loud House Movie,Netflix Animation / Nickelodeon Movies,tt6714432
The Night House,Searchlight Pictures / TSG Entertainment,tt9731534
Flag Day,Metro-Goldwyn-Mayer,tt2304637
Cryptozoo,Magnolia Pictures,tt13622118
Habit,Lionsgate / Voltage Pictures,tt11788956
Demonic,IFC Midnight / AGC Studios,tt13392012
Risen,Vertical Entertainment,tt3231054
The Witcher: Nightmare of the Wolf,Netflix / Studio Mir,tt11657662
Really Love,Netflix,tt8722624
Candyman,Universal Pictures / Metro-Goldwyn-Mayer / Bron Creative / Monkeypaw Productions,tt9347730
Vacation Friends,Hulu / 20th Century Studios,tt3626476
He's All That,Netflix / Miramax,tt4590256
No Man of God,RLJE Films,tt13507778
Rushed,Vertical Entertainment,tt10430850
Afterlife of the Party,Netflix,tt11742798
Shang-Chi and the Legend of the Ten Rings,Marvel Studios,tt9376612
Cinderella,Amazon Studios / Sony Pictures / Fulwell 73,tt1661199
Worth,Netflix,tt8009744
The Gateway,Lionsgate,tt10207710
Wild Indian,Vertical Entertainment,tt11433048
We Need to Do Something,IFC Films,tt13363828
Kate,Netflix / 87North Productions,tt7737528
Everybody's Talking About Jamie,Amazon Studios / Regency Enterprises / Film4,tt8635092
Malignant,Warner Bros. Pictures / New Line Cinema / HBO Max,tt3811906
Queenpins,STXfilms / AGC Studios,tt9054192
The Card Counter,Focus Features,tt11196036
Come from Away,Apple TV+ / Entertainment One,tt7638556
The Voyeurs,Amazon Studios,tt11235772
Small Engine Repair,Vertical Entertainment,tt9789042
Language Lessons,Shout! Studios,tt14031338
Show Me the Father,Affirm Films,tt14769324
Catch the Bullet,Lionsgate,tt11833710
Dating and New York,IFC Films,tt10926320
Bad Candy,Dread,tt6561576
Generation Wrecks,Futuregraph Entertainment,tt10042868
My Son,Peacock / STXfilms,tt13234058
Nightbooks,Netflix / Ghost House Pictures,tt10521144
The Starling,Netflix / Entertainment One,tt5164438
The Eyes of Tammy Faye,Searchlight Pictures / Freckle Films / MWM Studios,tt9115530
Cry Macho,Warner Bros. Pictures / Malpaso Productions / HBO Max,tt1924245
Copshop,Open Road Films,tt5748448
