channel_id.channel_id.i.,viewCount,subscriberCount,hiddenSubscriberCount,videoCount
UCqOH_Go7R0J0ZaOFBCHuTTw,9705,379,FALSE,6
UCO4AqVxmi68QqFWAIvi7Y6g,8069601,22900,FALSE,28
UCmLpWGO9eyDugKPxLSYW3kQ,454623028,303000,FALSE,1860
UCvC4D8onUfXzvjTOM-dBfEA,4474605891,18000000,FALSE,7692
UCz97F7dMxBNOfGYu3rx8aCw,3960671147,6180000,FALSE,4002
UCQKCHTy7BYp5Fik7QoXjz7w,1392068,2140,FALSE,72
UCnmDn3QFyDe4WJ44CsiSiiw,34605392,78000,FALSE,454
UCVpvnXNL2AzBcu6GZX0oDtw,23643382,32000,FALSE,181
UCUoC4hn4QbU55ZdxzOsKJ_A,372277433,1360000,FALSE,1798
UCtlp8d4cZg2eMrVbq7vxg9w,722086504,200000,FALSE,591
UC9S7BBUoWErI-50YI2ASoiw,103985413,123000,FALSE,220
UCvC4D8onUfXzvjTOM-dBfEA,4474605891,18000000,FALSE,7692
UCCEfOHkckMXnoZQAjUZsMig,11915168,34400,FALSE,152
UCCEfOHkckMXnoZQAjUZsMig,11915168,34400,FALSE,152
UCieuazCd9PNnMK3hxg3U3Kg,227037,402,FALSE,121
UCgM1fYihH7d08NL02gmRo0w,82247522,477000,FALSE,327
UC7QRIwDb8shSnZE8XB0lx4A,93566291,55100,FALSE,912
UCcCCIrXmIJOYamxWqeJzI2Q,257488927,329000,FALSE,586
UCaCrNBTUDsY1bcgTANIKCMg,66729549,61000,FALSE,186
UCBdw4dLCLLHmTgAOnW4V0hQ,324183231,5890000,FALSE,232
UCAVbmcQRHMirMgdWWfDkFrg,1645,8,FALSE,2
UC_976xMxPgzIa290Hqtk-9g,3241117971,5240000,FALSE,478
UCsJsRTpLCrWxDFoaqFoy85w,184025,2480,FALSE,14
UC51KZjUZokzJfb08mzAGS2A,324993765,235000,FALSE,1014
UCvKzl8iQnlSAjM9i4S0LS9A,47,2,FALSE,6
UCU4SM3j_9TNWaSu8KdGV50g,601406273,480000,FALSE,1108
UCvC4D8onUfXzvjTOM-dBfEA,4474605891,18000000,FALSE,7692
UCq7OHvWO6Z3u-LztFdrcU-g,2228056165,3070000,FALSE,358
UCuPivVjnfNo4mb3Oog_frZg,662085461,661000,FALSE,552
