"movie_imdb_id","movie_names","production_company","id","id_str","name","screen_name","verified","hashtag_movie","movie_release_dates_list","toDate","fromDate"
"tt11092594","My Name is Pauli Murray","Amazon Studios / Participant",NA,NA,NA,NA,NA,"#MyNameisPauliMurray",2021-10-01,"202110010000","202109010000"
"tt11111286","Reboot Camp","Freestyle Releasing",NA,NA,NA,NA,NA,"#RebootCamp",2021-05-04,"202105040000","202104040000"
"tt11125620","The Addams Family 2","Metro-Goldwyn-Mayer / Bron Creative",NA,NA,NA,NA,NA,"#TheAddamsFamily2",2021-10-01,"202110010000","202109010000"
"tt11196036","The Card Counter","Focus Features",1282711111280861184,"1282711111280861184","The Card Counter","CardCounterFilm",TRUE,"#TheCardCounter",2021-09-10,"202109100000","202108110000"
"tt11214590","House of Gucci","Metro-Goldwyn-Mayer / Bron Creative / Scott Free Productions",1250154805294587904,"1250154805294587904","House of Gucci","HouseOfGucciMov",TRUE,"#HouseofGucci",2021-11-24,"202111240000","202110250000"
"tt11233960","The Unforgivable","Netflix / Fortis Films / GK Films",NA,NA,NA,NA,NA,"#TheUnforgivable",2021-12-10,"202112100000","202111100000"
"tt11235772","The Voyeurs","Amazon Studios",NA,NA,NA,NA,NA,"#TheVoyeurs",2021-09-10,"202109100000","202108110000"
"tt11263022","The Seventh Day","Vertical Entertainment / Voltage Pictures",NA,NA,NA,NA,NA,"#TheSeventhDay",2021-03-26,"202103260000","202102240000"
"tt11268742","The Ultimate Playlist of Noise","Hulu",NA,NA,NA,NA,NA,"#TheUltimatePlaylistofNoise",2021-01-15,"202101150000","202012160000"
"tt11271038","Licorice Pizza","Metro-Goldwyn-Mayer / Focus Features / Bron Creative",1425273314323308544,"1425273314323308550","Licorice Pizza","licoricepizza",TRUE,"#LicoricePizza",2021-12-25,"202112250000","202111250000"
"tt11284502","South of Heaven","RLJE Films",NA,NA,NA,NA,NA,"#SouthofHeaven",2021-10-08,"202110080000","202109080000"
"tt11285280","Together Together","Bleecker Street",706885783,"706885783","Together","Together_Money",TRUE,"#TogetherTogether",2021-04-23,"202104230000","202103240000"
"tt11286314","Don't Look Up","Netflix / Hyperobject Industries",NA,NA,NA,NA,NA,"#Don'tLookUp",2021-12-24,"202112240000","202111240000"
