"movie_id","revenue","total_runtime_in_minute","meta_crtics_count","meta_score","release_date"
"tt9134596",0,NA,0,NA,NA
"tt10441822",19054,91,37,60,NA
"tt10417512",0,NA,5,NA,NA
"tt8194318",0,93,5,NA,1559606400
"tt9144756",0,85,4,NA,1577404800
"tt11639994",0,NA,0,NA,NA
"tt3513548",4705265,131,267,68,1576195200
"tt4712618",0,97,11,NA,NA
"tt3458510",0,97,16,NA,1524182400
"tt5485532",0,NA,0,NA,NA
"tt9058654",0,106,48,82,NA
"tt12214942",0,NA,0,NA,NA
"tt9165664",0,90,3,NA,1548460800
"tt4560436",13710825,94,204,38,1534464000
"tt6257174",48638,91,146,69,NA
"tt11214058",0,NA,0,NA,NA
"tt8530832",0,86,0,NA,NA
"tt3759912",0,93,23,54,NA
"tt7263778",0,NA,0,NA,NA
"tt2821068",0,NA,0,NA,NA
"tt4353270",0,94,21,37,1605225600
"tt12323616",0,NA,1,NA,1592784000
"tt12402128",0,NA,1,NA,NA
"tt6833470",0,93,2,NA,NA
"tt7074886",51543,113,174,61,1542758400
"tt7349950",91062152,169,442,58,1567728000
"tt8951378",0,NA,0,NA,NA
"tt6032328",0,91,23,53,1552608000
"tt4513538",0,90,3,NA,NA
"tt4927984",1920,112,2,NA,1611878400
"tt5083366",0,87,2,NA,NA
"tt2463288",39751,95,79,25,NA
"tt2379438",0,78,7,NA,1349395200
"tt2102442",0,NA,1,NA,NA
"tt1697681",0,NA,0,NA,NA
"tt11388870",0,NA,0,NA,1588291200
"tt10026732",0,NA,0,NA,NA
"tt6805814",0,90,0,NA,NA
"tt7970510",0,NA,0,NA,NA
"tt7310714",0,NA,0,NA,NA
"tt13705532",0,NA,0,NA,NA
"tt11241768",0,NA,0,NA,1601510400
"tt9731534",2859409,107,177,68,1629417600
"tt10885644",0,NA,1,NA,NA
"tt10857346",0,NA,0,NA,NA
"tt7286456",96202337,122,691,59,NA
"tt9099982",0,NA,6,NA,NA
"tt6998576",0,NA,1,NA,NA
