"movie_names","production_company","movie_imdb_id","id","id_str","name","screen_name","verified"
"Nobody","Universal Pictures / Perfect World Pictures / 87North Productions","tt7888964",1173723995968983040,"1173723995968983040","Nobody","NobodyMovie",TRUE
"Nomadland","Searchlight Pictures / Hulu","tt9770150",1096457871238127616,"1096457871238127616","Nomadland","nomadlandfilm",TRUE
"Old","Universal Pictures / Perfect World Pictures / Blinding Edge Pictures","tt10954652",1306656438404689920,"1306656438404689922","Old","oldthemovie",TRUE
"Our Friend","Gravitas Ventures / Black Bear Pictures","tt9608818",1323739330091757568,"1323739330091757568","Our Friend","OurFriendMovie",TRUE
"Out of Death","Vertical Entertainment","tt12528166",2902573864,"2902573864","Death, Sex & Money","deathsexmoney",TRUE
"Oxygen","Netflix","tt6341832",17792620,"17792620","Oxygen","oxygen",TRUE
"Palmer","Apple TV+","tt6857376",10798802,"10798802","Amanda Palmer <U+0001F3B9>","amandapalmer",TRUE
"Paranormal Activity: Next of Kin","Paramount+ / Paramount Players / Blumhouse Productions","tt10515988",70735167,"70735167","Paranormal Activity","TweetYourScream",TRUE
"PAW Patrol: The Movie","Paramount Pictures / Nickelodeon Movies / Paramount+","tt11832046",1316438142505775104,"1316438142505775104","PAW Patrol: The Movie","PAWPatrolMovie",TRUE
"Peter Rabbit 2: The Runaway","Columbia Pictures / MRC / Animal Logic","tt8376234",780814400575844352,"780814400575844352","Peter Rabbit","PeterRabbit",TRUE
"Pig","Neon / Endeavour Content","tt11003218",440741351,"440741351","Peppa Pig Official","peppapig",TRUE
"Plan B","Hulu","tt13172796",61452308,"61452308","PLAN B","PLANBLIVE",TRUE
"Queenpins","STXfilms / AGC Studios","tt9054192",1296485222700027904,"1296485222700027906","Queenpins Movie","QueenpinsMovie",TRUE
"Raya and the Last Dragon","Walt Disney Pictures / Walt Disney Animation Studios / Disney+","tt5109280",1159259219662495744,"1159259219662495744","Raya and the Last Dragon","DisneyRaya",TRUE
"Really Love","Netflix","tt8722624",262208274,"262208274","WHO REALLY LOVE ME 2 <U+0001F494>","1026SpacejamBo",TRUE
"Red Rocket","A24 / FilmNation Entertainment","tt13453006",1415834849760321536,"1415834849760321537","Red Rocket","redrocketmovie",TRUE
"Reminiscence","Warner Bros. Pictures / FilmNation Entertainment / HBO Max","tt3272066",1171899237447061504,"1171899237447061504","Reminiscence Film","Reminiscence",TRUE
"Respect","Metro-Goldwyn-Mayer / Bron Creative","tt2452150",90216414,"90216414","RESPECT. MAGAZINE","RESPECTMAG",TRUE
"Roadrunner: A Film About Anthony Bourdain","Focus Features","tt14512538",1356738424397520896,"1356738424397520896","Roadrunner","RoadrunnerMovie",TRUE
"Ron's Gone Wrong","20th Century Studios / Locksmith Animation / TSG Entertainment","tt7504818",1251299736876748800,"1251299736876748802","Ron's Gone Wrong","ronsgonewrong",TRUE
"Rumble","Paramount+ / Paramount Animation / WWE Studios / Walden Media","tt8337158",808080314,"808080314","Rumble","rumblevideo",TRUE
"Separation","Open Road Films / Briarcliff Entertainment","tt9173154",14235041,"14235041","Americans United","americansunited",TRUE
"Shang-Chi and the Legend of the Ten Rings","Marvel Studios","tt9376612",1148979262659145728,"1148979262659145728","Shang-Chi","shangchi",TRUE
"Sing 2","Universal Pictures / Illumination","tt6467266",4105268233,"4105268233","Sing 2","singmovie",TRUE
"Snake Eyes","Paramount Pictures / Metro-Goldwyn-Mayer / Skydance Media / Entertainment One","tt8404256",1169019367054630912,"1169019367054630912","Snake Eyes","SnakeEyesMovie",TRUE
"Space Jam: A New Legacy","Warner Bros. Pictures / Warner Animation Group / HBO Max","tt3554046",1034198922888007680,"1034198922888007680","Space Jam: A New Legacy","spacejammovie",TRUE
"Spencer","Neon / Topic Studios / FilmNation Entertainment","tt12536294",322995499,"322995499","spencer","Spencer_Brown",TRUE
"Spider-Man: No Way Home","Columbia Pictures / Marvel Studios","tt10872600",281217033,"281217033","Spider-Man: No Way Home","SpiderManMovie",TRUE
"Spiral","Lionsgate / Twisted Pictures","tt10342730",1105660673445380096,"1105660673445380097","Spiral","spiralbtc",TRUE
"Stillwater","Focus Features / DreamWorks Pictures / Participant","tt10696896",1230325949909979136,"1230325949909979138","Stillwater","StillwaterMovie",TRUE
"Summer of Soul","Searchlight Pictures / Hulu","tt11422728",1382779849085833216,"1382779849085833216","Summer of Soul","summerofsoul",TRUE
"Swan Song","Magnolia Pictures","tt13207508",1373035953808285696,"1373035953808285698","Swan Song","swansongfilm",TRUE
"Swan Song","Magnolia Pictures","tt13207508",1373035953808285696,"1373035953808285698","Swan Song","swansongfilm",TRUE
"Swan Song","Apple TV+ / Apple Studios","tt13207508",1373035953808285696,"1373035953808285698","Swan Song","swansongfilm",TRUE
"Swan Song","Apple TV+ / Apple Studios","tt13207508",1373035953808285696,"1373035953808285698","Swan Song","swansongfilm",TRUE
"Sweet Girl","Netflix","tt10731768",159375672,"159375672","Sweet Muslim Girl","darksheikftf",TRUE
"The Card Counter","Focus Features","tt11196036",1282711111280861184,"1282711111280861184","The Card Counter","CardCounterFilm",TRUE
"The Conjuring: The Devil Made Me Do It","Warner Bros. Pictures / New Line Cinema / HBO Max","tt7069210",785244157,"785244157","The Conjuring","TheConjuring",TRUE
"The Courier","Roadside Attractions / FilmNation Entertainment","tt8368512",48622982,"48622982","The Courier","ballaratcourier",TRUE
